bodyId_pre,bodyId_post,pre_name,post_name,type_pre_col,type_post_col,type_pre,type_post,roi_pre,roi_post,count
910783961,5813070465,Delta7_L3R6_910783961,PEN_b_L3_5813070465,Delta7_L3R6,PEN_b_L3,Delta7,PEN_b,PB,PB,180
911565419,5813070465,Delta7_L3R6_911565419,PEN_b_L3_5813070465,Delta7_L3R6,PEN_b_L3,Delta7,PEN_b,PB,PB,141
634608104,572870540,PEN_a_L2_634608104,EPG_L1_572870540,PEN_a_L2,EPG_L1,PEN_a,EPG,EB,EB,126
880875736,1631450739,Delta7_L5R4_880875736,PEN_b_L5_1631450739,Delta7_L5R4,PEN_b_L5,Delta7,PEN_b,PB,PB,125
665314820,942587380,EPG_L4_665314820,PEG_L4_942587380,EPG_L4,PEG_L4,EPG,PEG,PB,PB,119
5813048042,1631450739,Delta7_L5R4_5813048042,PEN_b_L5_1631450739,Delta7_L5R4,PEN_b_L5,Delta7,PEN_b,PB,PB,115
696362840,880875861,EPG_L5_696362840,PEG_L5_880875861,EPG_L5,PEG_L5,EPG,PEG,PB,PB,112
634962055,942587380,EPG_L4_634962055,PEG_L4_942587380,EPG_L4,PEG_L4,EPG,PEG,PB,PB,107
387364605,974300015,EPG_L3_387364605,PEG_L3_974300015,EPG_L3,PEG_L3,EPG,PEG,PB,PB,102
5813022281,942587380,EPG_L4_5813022281,PEG_L4_942587380,EPG_L4,PEG_L4,EPG,PEG,PB,PB,98
449438847,974300015,EPG_L3_449438847,PEG_L3_974300015,EPG_L3,PEG_L3,EPG,PEG,PB,PB,96
911565419,974300015,Delta7_L3R6_911565419,PEG_L3_974300015,Delta7_L3R6,PEG_L3,Delta7,PEG,PB,PB,94
634608104,1447576662,PEN_a_L2_634608104,EPG_L1_1447576662,PEN_a_L2,EPG_L1,PEN_a,EPG,EB,EB,94
911134009,539462336,Delta7_L4R5_911134009,PEN_b_L4_539462336,Delta7_L4R5,PEN_b_L4,Delta7,PEN_b,PB,PB,94
819828986,880875861,EPG_L5_819828986,PEG_L5_880875861,EPG_L5,PEG_L5,EPG,PEG,PB,PB,93
1508334312,697001770,PEN_a_L3_1508334312,EPG_L2_697001770,PEN_a_L3,EPG_L2,PEN_a,EPG,EB,EB,93
910783961,974300015,Delta7_L3R6_910783961,PEG_L3_974300015,Delta7_L3R6,PEG_L3,Delta7,PEG,PB,PB,91
5813047157,1447576662,PEN_b_L2_5813047157,EPG_L1_1447576662,PEN_b_L2,EPG_L1,PEN_b,EPG,EB,EB,90
941469087,5813070465,Delta7_L3R6_941469087,PEN_b_L3_5813070465,Delta7_L3R6,PEN_b_L3,Delta7,PEN_b,PB,PB,89
1508334312,1447576662,PEN_a_L3_1508334312,EPG_L1_1447576662,PEN_a_L3,EPG_L1,PEN_a,EPG,EB,EB,89
5813047157,572870540,PEN_b_L2_5813047157,EPG_L1_572870540,PEN_b_L2,EPG_L1,PEN_b,EPG,EB,EB,88
910796989,1631450739,Delta7_L5R4_910796989,PEN_b_L5_1631450739,Delta7_L5R4,PEN_b_L5,Delta7,PEN_b,PB,PB,86
880530613,1631450739,Delta7_L5R4_880530613,PEN_b_L5_1631450739,Delta7_L5R4,PEN_b_L5,Delta7,PEN_b,PB,PB,86
1508334312,5813061251,PEN_a_L3_1508334312,EPG_R8_5813061251,PEN_a_L3,EPG_R8,PEN_a,EPG,EB,EB,84
910442782,539462336,Delta7_L4R6_910442782,PEN_b_L4_539462336,Delta7_L4R6,PEN_b_L4,Delta7,PEN_b,PB,PB,83
911138168,387023620,Delta7_L4R5_911138168,PEN_b_L4_387023620,Delta7_L4R5,PEN_b_L4,Delta7,PEN_b,PB,PB,82
758419409,974300015,EPG_L3_758419409,PEG_L3_974300015,EPG_L3,PEG_L3,EPG,PEG,PB,PB,80
911906936,5813070465,Delta7_L3R6_911906936,PEN_b_L3_5813070465,Delta7_L3R6,PEN_b_L3,Delta7,PEN_b,PB,PB,79
911129339,387023620,Delta7_L4R5_911129339,PEN_b_L4_387023620,Delta7_L4R5,PEN_b_L4,Delta7,PEN_b,PB,PB,79
910442782,942587380,Delta7_L4R6_910442782,PEG_L4_942587380,Delta7_L4R6,PEG_L4,Delta7,PEG,PB,PB,76
1218732640,1447576662,PEN_a_R9_1218732640,EPG_L1_1447576662,PEN_a_R9,EPG_L1,PEN_a,EPG,EB,EB,76
911901802,387023620,Delta7_L4R6_911901802,PEN_b_L4_387023620,Delta7_L4R6,PEN_b_L4,Delta7,PEN_b,PB,PB,75
5813070465,912545106,PEN_b_L3_5813070465,EPG_L2_912545106,PEN_b_L3,EPG_L2,PEN_b,EPG,EB,EB,74
1508334312,912545106,PEN_a_L3_1508334312,EPG_L2_912545106,PEN_a_L3,EPG_L2,PEN_a,EPG,EB,EB,74
910801332,1631450739,Delta7_L5R4_910801332,PEN_b_L5_1631450739,Delta7_L5R4,PEN_b_L5,Delta7,PEN_b,PB,PB,72
941469087,974300015,Delta7_L3R6_941469087,PEG_L3_974300015,Delta7_L3R6,PEG_L3,Delta7,PEG,PB,PB,72
1447576662,572870540,EPG_L1_1447576662,EPG_L1_572870540,EPG_L1,EPG_L1,EPG,EPG,EB,EB,71
911901802,942587380,Delta7_L4R6_911901802,PEG_L4_942587380,Delta7_L4R6,PEG_L4,Delta7,PEG,PB,PB,71
1218732640,697001770,PEN_a_R9_1218732640,EPG_L2_697001770,PEN_a_R9,EPG_L2,PEN_a,EPG,EB,EB,70
880880259,387023620,Delta7_L4R5_880880259,PEN_b_L4_387023620,Delta7_L4R5,PEN_b_L4,Delta7,PEN_b,PB,PB,68
910796989,880875861,Delta7_L5R4_910796989,PEG_L5_880875861,Delta7_L5R4,PEG_L5,Delta7,PEG,PB,PB,68
789126240,880875861,EPG_L5_789126240,PEG_L5_880875861,EPG_L5,PEG_L5,EPG,PEG,PB,PB,67
1508334312,1125964814,PEN_a_L3_1508334312,EPG_R8_1125964814,PEN_a_L3,EPG_R8,PEN_a,EPG,EB,EB,67
911138168,539462336,Delta7_L4R5_911138168,PEN_b_L4_539462336,Delta7_L4R5,PEN_b_L4,Delta7,PEN_b,PB,PB,66
911129339,539462336,Delta7_L4R5_911129339,PEN_b_L4_539462336,Delta7_L4R5,PEN_b_L4,Delta7,PEN_b,PB,PB,66
911134009,942587380,Delta7_L4R5_911134009,PEG_L4_942587380,Delta7_L4R5,PEG_L4,Delta7,PEG,PB,PB,65
911901802,539462336,Delta7_L4R6_911901802,PEN_b_L4_539462336,Delta7_L4R6,PEN_b_L4,Delta7,PEN_b,PB,PB,65
449438847,5813070465,EPG_L3_449438847,PEN_b_L3_5813070465,EPG_L3,PEN_b_L3,EPG,PEN_b,PB,PB,64
880875736,880875861,Delta7_L5R4_880875736,PEG_L5_880875861,Delta7_L5R4,PEG_L5,Delta7,PEG,PB,PB,64
910442723,387023620,Delta7_L4R5_910442723,PEN_b_L4_387023620,Delta7_L4R5,PEN_b_L4,Delta7,PEN_b,PB,PB,64
1218732640,912545106,PEN_a_R9_1218732640,EPG_L2_912545106,PEN_a_R9,EPG_L2,PEN_a,EPG,EB,EB,64
911129339,942587380,Delta7_L4R5_911129339,PEG_L4_942587380,Delta7_L4R5,PEG_L4,Delta7,PEG,PB,PB,63
5813070465,697001770,PEN_b_L3_5813070465,EPG_L2_697001770,PEN_b_L3,EPG_L2,PEN_b,EPG,EB,EB,61
1508334312,1126647624,PEN_a_L3_1508334312,EPG_R8_1126647624,PEN_a_L3,EPG_R8,PEN_a,EPG,EB,EB,61
5813048042,880875861,Delta7_L5R4_5813048042,PEG_L5_880875861,Delta7_L5R4,PEG_L5,Delta7,PEG,PB,PB,60
911211196,879183317,Delta7_L6R4_911211196,PEN_b_L6_879183317,Delta7_L6R4,PEN_b_L6,Delta7,PEN_b,PB,PB,59
942522378,5813070465,Delta7_L2R7_942522378,PEN_b_L3_5813070465,Delta7_L2R7,PEN_b_L3,Delta7,PEN_b,PB,PB,58
911911699,5813070465,Delta7_L2R7_911911699,PEN_b_L3_5813070465,Delta7_L2R7,PEN_b_L3,Delta7,PEN_b,PB,PB,58
911241750,879183317,Delta7_L6R4_911241750,PEN_b_L6_879183317,Delta7_L6R4,PEN_b_L6,Delta7,PEN_b,PB,PB,57
1218732640,5813040233,PEN_a_R9_1218732640,EPG_R8_5813040233,PEN_a_R9,EPG_R8,PEN_a,EPG,EB,EB,57
1125964630,912545106,PEN_a_R8_1125964630,EPG_L2_912545106,PEN_a_R8,EPG_L2,PEN_a,EPG,EB,EB,56
1218732640,1125964814,PEN_a_R9_1218732640,EPG_R8_1125964814,PEN_a_R9,EPG_R8,PEN_a,EPG,EB,EB,56
1218732640,572870540,PEN_a_R9_1218732640,EPG_L1_572870540,PEN_a_R9,EPG_L1,PEN_a,EPG,EB,EB,55
1508334312,5813040233,PEN_a_L3_1508334312,EPG_R8_5813040233,PEN_a_L3,EPG_R8,PEN_a,EPG,EB,EB,55
911138168,942587380,Delta7_L4R5_911138168,PEG_L4_942587380,Delta7_L4R5,PEG_L4,Delta7,PEG,PB,PB,55
880530613,880875861,Delta7_L5R4_880530613,PEG_L5_880875861,Delta7_L5R4,PEG_L5,Delta7,PEG,PB,PB,55
912601268,881898734,EPG_L6_912601268,PEG_L6_881898734,EPG_L6,PEG_L6,EPG,PEG,PB,PB,54
910801332,664650297,Delta7_L5R4_910801332,PEN_b_L6_664650297,Delta7_L5R4,PEN_b_L6,Delta7,PEN_b,PB,PB,54
1218732640,1126647624,PEN_a_R9_1218732640,EPG_R8_1126647624,PEN_a_R9,EPG_R8,PEN_a,EPG,EB,EB,54
541870397,881898734,EPG_L6_541870397,PEG_L6_881898734,EPG_L6,PEG_L6,EPG,PEG,PB,PB,54
572870540,1447576662,EPG_L1_572870540,EPG_L1_1447576662,EPG_L1,EPG_L1,EPG,EPG,EB,EB,53
910442723,539462336,Delta7_L4R5_910442723,PEN_b_L4_539462336,Delta7_L4R5,PEN_b_L4,Delta7,PEN_b,PB,PB,53
5813053866,912545106,ER4m_R_5813053866,EPG_L2_912545106,ER4m_R,EPG_L2,ER4m,EPG,EB,EB,51
734581598,879183317,Delta7_L6R3_734581598,PEN_b_L6_879183317,Delta7_L6R3,PEN_b_L6,Delta7,PEN_b,PB,PB,51
1218732640,5813061251,PEN_a_R9_1218732640,EPG_R8_5813061251,PEN_a_R9,EPG_R8,PEN_a,EPG,EB,EB,51
5813053866,1447576662,ER4m_R_5813053866,EPG_L1_1447576662,ER4m_R,EPG_L1,ER4m,EPG,EB,EB,51
634608104,5813040233,PEN_a_L2_634608104,EPG_R8_5813040233,PEN_a_L2,EPG_R8,PEN_a,EPG,EB,EB,50
911241750,881898734,Delta7_L6R4_911241750,PEG_L6_881898734,Delta7_L6R4,PEG_L6,Delta7,PEG,PB,PB,50
788794171,881898734,EPG_L6_788794171,PEG_L6_881898734,EPG_L6,PEG_L6,EPG,PEG,PB,PB,50
910442782,634962055,Delta7_L4R6_910442782,EPG_L4_634962055,Delta7_L4R6,EPG_L4,Delta7,EPG,PB,PB,49
5813049948,1447576662,ER4m_L_5813049948,EPG_L1_1447576662,ER4m_L,EPG_L1,ER4m,EPG,EB,EB,49
1198326456,572870540,ER4m_R_1198326456,EPG_L1_572870540,ER4m_R,EPG_L1,ER4m,EPG,EB,EB,49
911901802,634962055,Delta7_L4R6_911901802,EPG_L4_634962055,Delta7_L4R6,EPG_L4,Delta7,EPG,PB,PB,49
572870540,5813047157,EPG_L1_572870540,PEN_b_L2_5813047157,EPG_L1,PEN_b_L2,EPG,PEN_b,EB,EB,48
1292847181,1447576662,ER4m_R_1292847181,EPG_L1_1447576662,ER4m_R,EPG_L1,ER4m,EPG,EB,EB,48
910442782,5813070465,Delta7_L4R6_910442782,PEN_b_L3_5813070465,Delta7_L4R6,PEN_b_L3,Delta7,PEN_b,PB,PB,48
1198326456,1292847181,ER4m_R_1198326456,ER4m_R_1292847181,ER4m_R,ER4m_R,ER4m,ER4m,EB,EB,47
1508334312,572870540,PEN_a_L3_1508334312,EPG_L1_572870540,PEN_a_L3,EPG_L1,PEN_a,EPG,EB,EB,47
734581598,881898734,Delta7_L6R3_734581598,PEG_L6_881898734,Delta7_L6R3,PEG_L6,Delta7,PEG,PB,PB,47
697001770,5813070465,EPG_L2_697001770,PEN_b_L3_5813070465,EPG_L2,PEN_b_L3,EPG,PEN_b,EB,EB,46
912545106,697001770,EPG_L2_912545106,EPG_L2_697001770,EPG_L2,EPG_L2,EPG,EPG,EB,EB,46
910442782,387023620,Delta7_L4R6_910442782,PEN_b_L4_387023620,Delta7_L4R6,PEN_b_L4,Delta7,PEN_b,PB,PB,46
911211196,881898734,Delta7_L6R4_911211196,PEG_L6_881898734,Delta7_L6R4,PEG_L6,Delta7,PEG,PB,PB,46
5813053866,5813050767,ER4m_R_5813053866,ER4m_R_5813050767,ER4m_R,ER4m_R,ER4m,ER4m,EB,EB,45
5813022281,911578595,EPG_L4_5813022281,Delta7_L8R1R9_911578595,EPG_L4,Delta7_L8R1R9,EPG,Delta7,PB,PB,45
1292847181,697001770,ER4m_R_1292847181,EPG_L2_697001770,ER4m_R,EPG_L2,ER4m,EPG,EB,EB,44
1167645442,1126647624,ER4m_R_1167645442,EPG_R8_1126647624,ER4m_R,EPG_R8,ER4m,EPG,EB,EB,44
5813050767,5813053866,ER4m_R_5813050767,ER4m_R_5813053866,ER4m_R,ER4m_R,ER4m,ER4m,EB,EB,44
1167645442,697001770,ER4m_R_1167645442,EPG_L2_697001770,ER4m_R,EPG_L2,ER4m,EPG,EB,EB,43
1167645442,912545106,ER4m_R_1167645442,EPG_L2_912545106,ER4m_R,EPG_L2,ER4m,EPG,EB,EB,43
734581598,664650297,Delta7_L6R3_734581598,PEN_b_L6_664650297,Delta7_L6R3,PEN_b_L6,Delta7,PEN_b,PB,PB,43
1292847181,912545106,ER4m_R_1292847181,EPG_L2_912545106,ER4m_R,EPG_L2,ER4m,EPG,EB,EB,43
5813070465,1126647624,PEN_b_L3_5813070465,EPG_R8_1126647624,PEN_b_L3,EPG_R8,PEN_b,EPG,EB,EB,43
5813070465,1125964814,PEN_b_L3_5813070465,EPG_R8_1125964814,PEN_b_L3,EPG_R8,PEN_b,EPG,EB,EB,43
696362840,1631450739,EPG_L5_696362840,PEN_b_L5_1631450739,EPG_L5,PEN_b_L5,EPG,PEN_b,PB,PB,42
910442723,757055317,Delta7_L4R5_910442723,PEN_a_L4_757055317,Delta7_L4R5,PEN_a_L4,Delta7,PEN_a,PB,PB,42
880880259,1631450739,Delta7_L4R5_880880259,PEN_b_L5_1631450739,Delta7_L4R5,PEN_b_L5,Delta7,PEN_b,PB,PB,42
634608104,1125964814,PEN_a_L2_634608104,EPG_R8_1125964814,PEN_a_L2,EPG_R8,PEN_a,EPG,EB,EB,42
1447576662,5813047157,EPG_L1_1447576662,PEN_b_L2_5813047157,EPG_L1,PEN_b_L2,EPG,PEN_b,EB,EB,42
5813053866,572870540,ER4m_R_5813053866,EPG_L1_572870540,ER4m_R,EPG_L1,ER4m,EPG,EB,EB,42
5813022281,387023620,EPG_L4_5813022281,PEN_b_L4_387023620,EPG_L4,PEN_b_L4,EPG,PEN_b,PB,PB,42
1198326456,912545106,ER4m_R_1198326456,EPG_L2_912545106,ER4m_R,EPG_L2,ER4m,EPG,EB,EB,42
1292847181,5813050767,ER4m_R_1292847181,ER4m_R_5813050767,ER4m_R,ER4m_R,ER4m,ER4m,EB,EB,42
1198326456,1447576662,ER4m_R_1198326456,EPG_L1_1447576662,ER4m_R,EPG_L1,ER4m,EPG,EB,EB,42
880880259,880875861,Delta7_L4R5_880880259,PEG_L5_880875861,Delta7_L4R5,PEG_L5,Delta7,PEG,PB,PB,42
911129339,757055317,Delta7_L4R5_911129339,PEN_a_L4_757055317,Delta7_L4R5,PEN_a_L4,Delta7,PEN_a,PB,PB,41
5813070465,5813061251,PEN_b_L3_5813070465,EPG_R8_5813061251,PEN_b_L3,EPG_R8,PEN_b,EPG,EB,EB,41
911906936,974300015,Delta7_L3R6_911906936,PEG_L3_974300015,Delta7_L3R6,PEG_L3,Delta7,PEG,PB,PB,41
697001770,912545106,EPG_L2_697001770,EPG_L2_912545106,EPG_L2,EPG_L2,EPG,EPG,EB,EB,41
910442723,1631450739,Delta7_L4R5_910442723,PEN_b_L5_1631450739,Delta7_L4R5,PEN_b_L5,Delta7,PEN_b,PB,PB,41
1198326456,697001770,ER4m_R_1198326456,EPG_L2_697001770,ER4m_R,EPG_L2,ER4m,EPG,EB,EB,41
1218728570,697001770,PEN_b_R9_1218728570,EPG_L2_697001770,PEN_b_R9,EPG_L2,PEN_b,EPG,EB,EB,40
941814787,664650297,Delta7_L6R3_941814787,PEN_b_L6_664650297,Delta7_L6R3,PEN_b_L6,Delta7,PEN_b,PB,PB,40
910442723,942587380,Delta7_L4R5_910442723,PEG_L4_942587380,Delta7_L4R5,PEG_L4,Delta7,PEG,PB,PB,40
5813040233,1447576662,EPG_R8_5813040233,EPG_L1_1447576662,EPG_R8,EPG_L1,EPG,EPG,EB,EB,40
5813050767,1447576662,ER4m_R_5813050767,EPG_L1_1447576662,ER4m_R,EPG_L1,ER4m,EPG,EB,EB,40
634962055,911911004,EPG_L4_634962055,Delta7_L1L9R8_911911004,EPG_L4,Delta7_L1L9R8,EPG,Delta7,PB,PB,40
1601771527,5813061251,PEN_b_R9_1601771527,EPG_R8_5813061251,PEN_b_R9,EPG_R8,PEN_b,EPG,EB,EB,40
572870540,634608104,EPG_L1_572870540,PEN_a_L2_634608104,EPG_L1,PEN_a_L2,EPG,PEN_a,EB,EB,39
1167977970,1447576662,ER4m_L_1167977970,EPG_L1_1447576662,ER4m_L,EPG_L1,ER4m,EPG,EB,EB,39
911138168,849482511,Delta7_L4R5_911138168,PEN_a_L4_849482511,Delta7_L4R5,PEN_a_L4,Delta7,PEN_a,PB,PB,39
5813050767,697001770,ER4m_R_5813050767,EPG_L2_697001770,ER4m_R,EPG_L2,ER4m,EPG,EB,EB,39
910783961,1508334312,Delta7_L3R6_910783961,PEN_a_L3_1508334312,Delta7_L3R6,PEN_a_L3,Delta7,PEN_a,PB,PB,39
696362840,911574261,EPG_L5_696362840,Delta7_L1L9R8_911574261,EPG_L5,Delta7_L1L9R8,EPG,Delta7,PB,PB,39
5813050767,1167645442,ER4m_R_5813050767,ER4m_R_1167645442,ER4m_R,ER4m_R,ER4m,ER4m,EB,EB,39
910801332,880875861,Delta7_L5R4_910801332,PEG_L5_880875861,Delta7_L5R4,PEG_L5,Delta7,PEG,PB,PB,38
942522378,974300015,Delta7_L2R7_942522378,PEG_L3_974300015,Delta7_L2R7,PEG_L3,Delta7,PEG,PB,PB,38
1447576662,5813040233,EPG_L1_1447576662,EPG_R8_5813040233,EPG_L1,EPG_R8,EPG,EPG,EB,EB,38
1167645442,1447576662,ER4m_R_1167645442,EPG_L1_1447576662,ER4m_R,EPG_L1,ER4m,EPG,EB,EB,38
5813050767,1292847181,ER4m_R_5813050767,ER4m_R_1292847181,ER4m_R,ER4m_R,ER4m,ER4m,EB,EB,38
1198326456,1167645442,ER4m_R_1198326456,ER4m_R_1167645442,ER4m_R,ER4m_R,ER4m,ER4m,EB,EB,38
5813053866,1126647624,ER4m_R_5813053866,EPG_R8_1126647624,ER4m_R,EPG_R8,ER4m,EPG,EB,EB,38
1291366237,1322811160,ER3pb_R_1291366237,ER3pb_L_1322811160,ER3pb_R,ER3pb_L,ER3p,ER3p,EB,EB,38
696362840,5813080979,EPG_L5_696362840,PEN_a_L5_5813080979,EPG_L5,PEN_a_L5,EPG,PEN_a,PB,PB,38
5813050767,912545106,ER4m_R_5813050767,EPG_L2_912545106,ER4m_R,EPG_L2,ER4m,EPG,EB,EB,38
1167641412,1447576662,ER4m_L_1167641412,EPG_L1_1447576662,ER4m_L,EPG_L1,ER4m,EPG,EB,EB,37
1292847181,1198326456,ER4m_R_1292847181,ER4m_R_1198326456,ER4m_R,ER4m_R,ER4m,ER4m,EB,EB,37
1447576662,634608104,EPG_L1_1447576662,PEN_a_L2_634608104,EPG_L1,PEN_a_L2,EPG,PEN_a,EB,EB,37
5813047793,1126647624,ER4m_L_5813047793,EPG_R8_1126647624,ER4m_L,EPG_R8,ER4m,EPG,EB,EB,37
1167641412,572870540,ER4m_L_1167641412,EPG_L1_572870540,ER4m_L,EPG_L1,ER4m,EPG,EB,EB,37
1292847181,5813053866,ER4m_R_1292847181,ER4m_R_5813053866,ER4m_R,ER4m_R,ER4m,ER4m,EB,EB,36
910783961,387364605,Delta7_L3R6_910783961,EPG_L3_387364605,Delta7_L3R6,EPG_L3,Delta7,EPG,PB,PB,36
5813061251,1125964814,EPG_R8_5813061251,EPG_R8_1125964814,EPG_R8,EPG_R8,EPG,EPG,EB,EB,36
880875736,5813080979,Delta7_L5R4_880875736,PEN_a_L5_5813080979,Delta7_L5R4,PEN_a_L5,Delta7,PEN_a,PB,PB,36
911901802,849482511,Delta7_L4R6_911901802,PEN_a_L4_849482511,Delta7_L4R6,PEN_a_L4,Delta7,PEN_a,PB,PB,36
1601771527,912545106,PEN_b_R9_1601771527,EPG_L2_912545106,PEN_b_R9,EPG_L2,PEN_b,EPG,EB,EB,36
911134009,387023620,Delta7_L4R5_911134009,PEN_b_L4_387023620,Delta7_L4R5,PEN_b_L4,Delta7,PEN_b,PB,PB,36
1292847181,572870540,ER4m_R_1292847181,EPG_L1_572870540,ER4m_R,EPG_L1,ER4m,EPG,EB,EB,35
5813047793,1447576662,ER4m_L_5813047793,EPG_L1_1447576662,ER4m_L,EPG_L1,ER4m,EPG,EB,EB,35
911134009,665314820,Delta7_L4R5_911134009,EPG_L4_665314820,Delta7_L4R5,EPG_L4,Delta7,EPG,PB,PB,35
1126647624,697001770,EPG_R8_1126647624,EPG_L2_697001770,EPG_R8,EPG_L2,EPG,EPG,EB,EB,35
1292847181,5813040233,ER4m_R_1292847181,EPG_R8_5813040233,ER4m_R,EPG_R8,ER4m,EPG,EB,EB,35
5813050767,1126647624,ER4m_R_5813050767,EPG_R8_1126647624,ER4m_R,EPG_R8,ER4m,EPG,EB,EB,35
819828986,911911004,EPG_L5_819828986,Delta7_L1L9R8_911911004,EPG_L5,Delta7_L1L9R8,EPG,Delta7,PB,PB,35
1167645442,1198326456,ER4m_R_1167645442,ER4m_R_1198326456,ER4m_R,ER4m_R,ER4m,ER4m,EB,EB,35
1292847181,1126647624,ER4m_R_1292847181,EPG_R8_1126647624,ER4m_R,EPG_R8,ER4m,EPG,EB,EB,35
1218728570,1125964814,PEN_b_R9_1218728570,EPG_R8_1125964814,PEN_b_R9,EPG_R8,PEN_b,EPG,EB,EB,35
911565419,449438847,Delta7_L3R6_911565419,EPG_L3_449438847,Delta7_L3R6,EPG_L3,Delta7,EPG,PB,PB,35
1190171884,1601771527,PEG_L2_1190171884,PEN_b_R9_1601771527,PEG_L2,PEN_b_R9,PEG,PEN_b,EB,EB,35
819828986,1631450739,EPG_L5_819828986,PEN_b_L5_1631450739,EPG_L5,PEN_b_L5,EPG,PEN_b,PB,PB,35
1198326456,1126647624,ER4m_R_1198326456,EPG_R8_1126647624,ER4m_R,EPG_R8,ER4m,EPG,EB,EB,34
1218728570,912545106,PEN_b_R9_1218728570,EPG_L2_912545106,PEN_b_R9,EPG_L2,PEN_b,EPG,EB,EB,34
911211196,664650297,Delta7_L6R4_911211196,PEN_b_L6_664650297,Delta7_L6R4,PEN_b_L6,Delta7,PEN_b,PB,PB,34
5813047793,572870540,ER4m_L_5813047793,EPG_L1_572870540,ER4m_L,EPG_L1,ER4m,EPG,EB,EB,34
1167645442,5813053866,ER4m_R_1167645442,ER4m_R_5813053866,ER4m_R,ER4m_R,ER4m,ER4m,EB,EB,34
880875736,696362840,Delta7_L5R4_880875736,EPG_L5_696362840,Delta7_L5R4,EPG_L5,Delta7,EPG,PB,PB,34
5813053866,5813040233,ER4m_R_5813053866,EPG_R8_5813040233,ER4m_R,EPG_R8,ER4m,EPG,EB,EB,34
449438847,1508334312,EPG_L3_449438847,PEN_a_L3_1508334312,EPG_L3,PEN_a_L3,EPG,PEN_a,PB,PB,34
789126240,1631450739,EPG_L5_789126240,PEN_b_L5_1631450739,EPG_L5,PEN_b_L5,EPG,PEN_b,PB,PB,34
912545106,1508334312,EPG_L2_912545106,PEN_a_L3_1508334312,EPG_L2,PEN_a_L3,EPG,PEN_a,EB,EB,34
387364605,941810314,EPG_L3_387364605,Delta7_L7R3_941810314,EPG_L3,Delta7_L7R3,EPG,Delta7,PB,PB,34
1447576662,1125964814,EPG_L1_1447576662,EPG_R8_1125964814,EPG_L1,EPG_R8,EPG,EPG,EB,EB,33
1198326456,5813053866,ER4m_R_1198326456,ER4m_R_5813053866,ER4m_R,ER4m_R,ER4m,ER4m,EB,EB,33
5813053866,697001770,ER4m_R_5813053866,EPG_L2_697001770,ER4m_R,EPG_L2,ER4m,EPG,EB,EB,33
1447576662,1508334312,EPG_L1_1447576662,PEN_a_L3_1508334312,EPG_L1,PEN_a_L3,EPG,PEN_a,EB,EB,33
1601771527,697001770,PEN_b_R9_1601771527,EPG_L2_697001770,PEN_b_R9,EPG_L2,PEN_b,EPG,EB,EB,33
1292847181,5813061251,ER4m_R_1292847181,EPG_R8_5813061251,ER4m_R,EPG_R8,ER4m,EPG,EB,EB,33
665314820,1158747783,EPG_L4_665314820,Delta7_L7R2_1158747783,EPG_L4,Delta7_L7R2,EPG,Delta7,PB,PB,33
5813053866,1167645442,ER4m_R_5813053866,ER4m_R_1167645442,ER4m_R,ER4m_R,ER4m,ER4m,EB,EB,33
1292847181,1125964814,ER4m_R_1292847181,EPG_R8_1125964814,ER4m_R,EPG_R8,ER4m,EPG,EB,EB,33
5813070465,1447576662,PEN_b_L3_5813070465,EPG_L1_1447576662,PEN_b_L3,EPG_L1,PEN_b,EPG,EB,EB,32
5813050767,1125964814,ER4m_R_5813050767,EPG_R8_1125964814,ER4m_R,EPG_R8,ER4m,EPG,EB,EB,32
1292458303,1261432076,ER3db_L_1292458303,ER3db_L_1261432076,ER3db_L,ER3db_L,ER3d,ER3d,EB,EB,32
1167645442,5813050767,ER4m_R_1167645442,ER4m_R_5813050767,ER4m_R,ER4m_R,ER4m,ER4m,EB,EB,32
1125964630,697001770,PEN_a_R8_1125964630,EPG_L2_697001770,PEN_a_R8,EPG_L2,PEN_a,EPG,EB,EB,32
5813047793,912545106,ER4m_L_5813047793,EPG_L2_912545106,ER4m_L,EPG_L2,ER4m,EPG,EB,EB,32
5813050767,5813061251,ER4m_R_5813050767,EPG_R8_5813061251,ER4m_R,EPG_R8,ER4m,EPG,EB,EB,32
634962055,849482511,EPG_L4_634962055,PEN_a_L4_849482511,EPG_L4,PEN_a_L4,EPG,PEN_a,PB,PB,32
1126647624,912545106,EPG_R8_1126647624,EPG_L2_912545106,EPG_R8,EPG_L2,EPG,EPG,EB,EB,32
449438847,941814787,EPG_L3_449438847,Delta7_L6R3_941814787,EPG_L3,Delta7_L6R3,EPG,Delta7,PB,PB,32
912545106,1218732640,EPG_L2_912545106,PEN_a_R9_1218732640,EPG_L2,PEN_a_R9,EPG,PEN_a,EB,EB,32
1167645442,1292847181,ER4m_R_1167645442,ER4m_R_1292847181,ER4m_R,ER4m_R,ER4m,ER4m,EB,EB,32
912545106,1126647624,EPG_L2_912545106,EPG_R8_1126647624,EPG_L2,EPG_R8,EPG,EPG,EB,EB,32
1198326456,5813040233,ER4m_R_1198326456,EPG_R8_5813040233,ER4m_R,EPG_R8,ER4m,EPG,EB,EB,31
1167645442,5813040233,ER4m_R_1167645442,EPG_R8_5813040233,ER4m_R,EPG_R8,ER4m,EPG,EB,EB,31
697001770,1218728570,EPG_L2_697001770,PEN_b_R9_1218728570,EPG_L2,PEN_b_R9,EPG,PEN_b,EB,EB,31
